Total Population,Female Population,Male Population,Birth Rate,Death Rate,Compulsory Education Dur.,Employment in Industry(%),Employment in Agriculture(%),Female Employment in Agriculture(%),Female Employment in Industry(%),Unemployment(%),GDP in USD,National Income per Capita,Net income from Abroad,Agriculture value added(in USD),Electric Power Consumption(kWH per capita),Renewable Energy Consumption (%),Fossil Fuel Consumption (%),Male life expectancy,Female life expectancy ,"School enrollment, primary","School enrollment, tertiary",Primary completion rate,Year,Country
30466479.0,15067374.0,15399105.0,40.009,7.711,9.0,17.19253,50.17682,70.50992,23.03783,8.019,20203572959.5023,1.1851792829892964,31813349.5936875,4927827948.56387,3671.529454986526,15.36,78.3627517306781,60.317,63.514,106.283401489258,33.21782297364581,93.34517165078628,2012,Afghanistan
29249157.0,14468875.0,14780282.0,39.855,7.931,9.0,15.77764,52.67994,73.42132,20.42934,7.947,18190413831.9037,1.1851792829892964,-19834370.1200077,4319070738.22919,3671.529454986526,12.61,78.3627517306781,59.825,62.993,100.290298461914,3.75560998916626,93.34517165078628,2011,Afghanistan
28189672.0,13949295.0,14240377.0,40.602,8.254,9.0,15.21198,53.78926,76.35602,17.53928,8.068,15633843661.8051,1.1851792829892964,27538868.7368818,4097641138.7977,3671.529454986526,15.15,78.3627517306781,59.278,62.408,102.903442382812,33.21782297364581,93.34517165078628,2010,Afghanistan
27385307.0,13557330.0,13827977.0,41.157,8.535,9.0,13.82961,56.27216,78.33239,15.85615,8.082,12154835707.8987,1.1851792829892964,-34659503.2290114,3561063119.72181,3671.529454986526,16.53,78.3627517306781,58.82,61.892,99.3697204589844,4.02480983734131,93.34517165078628,2009,Afghanistan
26427199.0,13088193.0,13339006.0,41.506,8.832,9.0,12.39661,58.90637,81.32214,13.17623,8.022,10249770318.5697,1.1851792829892964,-285684168.98283684,2551400502.69057,3671.529454986526,21.17,78.3627517306781,58.172,61.529,103.413963317871,33.21782297364581,93.34517165078628,2008,Afghanistan
25903301.0,12835340.0,13067961.0,43.858,9.359,6.0,12.03366,59.61623,82.39261,12.23222,8.108,9715765105.48016,1.1851792829892964,-285684168.98283684,2924932188.46323,3671.529454986526,28.78,78.3627517306781,57.342,60.909,101.086456298828,33.21782297364581,93.34517165078628,2007,Afghanistan
25442944.0,12614497.0,12828447.0,44.721,9.679,6.0,11.40802,61.01674,84.07625,10.92728,8.054,6971383338.70803,1.1851792829892964,-285684168.98283684,1996323142.77531,3671.529454986526,31.89,78.3627517306781,57.133,60.243,103.932243347168,33.21782297364581,93.34517165078628,2006,Afghanistan
24411191.0,12109087.0,12302104.0,45.263,9.941,6.0,10.89879,61.81535,85.17677,10.0268,8.113,6226198934.83329,1.1851792829892964,-285684168.98283684,1937272765.10973,3671.529454986526,33.88,78.3627517306781,57.013,59.697,100.229690551758,33.21782297364581,93.34517165078628,2005,Afghanistan
23553551.0,11690825.0,11862726.0,46.33,10.277,6.0,10.10977,63.05186,86.39676,9.143875,8.053,5220825048.64637,1.1851792829892964,-285684168.98283684,1551684917.84982,3671.529454986526,44.24,78.3627517306781,56.658,59.216,106.252662658691,1.38966000080109,93.34517165078628,2004,Afghanistan
22645130.0,11247647.0,11397483.0,47.35,10.698,6.0,9.739044,63.34015,86.72085,8.786016,8.122,4539496562.95373,1.1851792829892964,-285684168.98283684,1698627656.73833,3671.529454986526,36.66,78.3627517306781,56.032,58.65,96.5536804199219,1.38107001781464,93.34517165078628,2003,Afghanistan
21000256.0,10438054.0,10562202.0,48.201,11.28,6.0,9.271434,64.08779,87.5259,8.18386,8.186,3854235264.37171,1.1851792829892964,-285684168.98283684,1488809830.09966,3671.529454986526,37.83,78.3627517306781,55.227,57.672,75.9597473144531,33.21782297364581,93.34517165078628,2002,Afghanistan
19688632.0,9793165.0,9895467.0,48.979,11.713,6.0,8.361796,66.05487,88.712,7.53183,8.04,445785076688.7175,1.1851792829892964,0.0,31713744021.113472,3671.529454986526,45.6,78.3627517306781,54.272,57.344,22.9085903167725,33.21782297364581,93.34517165078628,2001,Afghanistan
19542982.0,9727540.0,9815442.0,49.664,12.096,6.0,8.636017,65.47169,88.07875,7.844514,8.054,445785076688.7175,1.1851792829892964,-285684168.98283684,31713744021.113472,3671.529454986526,44.99,78.3627517306781,53.762,56.858,22.1629905700684,33.21782297364581,93.34517165078628,2000,Afghanistan
19262847.0,9595036.0,9667811.0,50.351,12.463,6.0,8.958789,64.98719,87.46256,8.272681,8.07,445785076688.7175,1.1851792829892964,-285684168.98283684,31713744021.113472,3671.529454986526,43.44,78.3627517306781,53.41,56.3,27.298849105835,33.21782297364581,93.34517165078628,1999,Afghanistan
18493132.0,9217591.0,9275541.0,50.88,13.565,6.0,9.289663,64.61451,86.82232,8.832011,8.082,445785076688.7175,1.1851792829892964,-285684168.98283684,31713744021.113472,3671.529454986526,38.02,78.3627517306781,51.134,54.818,34.2968788146973,33.21782297364581,93.34517165078628,1998,Afghanistan
17788819.0,8871957.0,8916862.0,51.4,13.334,8.913544668587896,9.635636,64.26736,86.20139,9.42873,8.089,445785076688.7175,1.1851792829892964,-285684168.98283684,31713744021.113472,3671.529454986526,36.42,78.3627517306781,52.153,55.151,101.51146058531315,33.21782297364581,93.34517165078628,1997,Afghanistan
17106595.0,8537420.0,8569175.0,51.873,13.627,8.913544668587896,10.0015,63.85911,85.5619,10.04247,8.165,445785076688.7175,1.1851792829892964,-285684168.98283684,31713744021.113472,3671.529454986526,33.89,78.3627517306781,51.722,54.806,101.51146058531315,33.21782297364581,93.34517165078628,1996,Afghanistan
